sensor,agg,axis,feature_name,feature_importance
tBodyAccJerk,min(),Y,tBodyAccJerk-min()-Y,0.0005371626527241501
tBodyAccJerk,min(),Z,tBodyAccJerk-min()-Z,0.0003553721188124335
tBodyAccJerk,sma(),,tBodyAccJerk-sma(),0.0025266109948725783
tBodyAccJerk,energy(),X,tBodyAccJerk-energy()-X,0.006768013473666401
tBodyAccJerk,energy(),Y,tBodyAccJerk-energy()-Y,0.00305682778241915
tBodyAccJerk,energy(),Z,tBodyAccJerk-energy()-Z,0.0003788913526984511
tBodyAccJerk,iqr(),X,tBodyAccJerk-iqr()-X,0.006489122634532517
tBodyAccJerk,iqr(),Y,tBodyAccJerk-iqr()-Y,0.0003361246199584629
tBodyAccJerk,iqr(),Z,tBodyAccJerk-iqr()-Z,0.004353257499885909
tBodyAccJerk,entropy(),X,tBodyAccJerk-entropy()-X,0.008413500851878553
tBodyAccJerk,entropy(),Y,tBodyAccJerk-entropy()-Y,0.0022710024881812223
tBodyAccJerk,entropy(),Z,tBodyAccJerk-entropy()-Z,0.0022813776536029537
tBodyAccJerk,arCoeff(),"X,1","tBodyAccJerk-arCoeff()-X,1",0.0003671587948507002
tBodyAccJerk,arCoeff(),"X,2","tBodyAccJerk-arCoeff()-X,2",0.00015919591612161325
tBodyAccJerk,arCoeff(),"X,3","tBodyAccJerk-arCoeff()-X,3",0.00021784363477500394
tBodyAccJerk,arCoeff(),"X,4","tBodyAccJerk-arCoeff()-X,4",0.00026928036778267237
tBodyAccJerk,arCoeff(),"Y,1","tBodyAccJerk-arCoeff()-Y,1",0.00018130283543666954
tBodyAccJerk,arCoeff(),"Y,2","tBodyAccJerk-arCoeff()-Y,2",0.0001929272501720135
tBodyAccJerk,arCoeff(),"Y,3","tBodyAccJerk-arCoeff()-Y,3",0.00025700390546795913
tBodyAccJerk,arCoeff(),"Y,4","tBodyAccJerk-arCoeff()-Y,4",0.0003452946777912998
tBodyAccJerk,arCoeff(),"Z,1","tBodyAccJerk-arCoeff()-Z,1",0.0002184043865725421
tBodyAccJerk,arCoeff(),"Z,2","tBodyAccJerk-arCoeff()-Z,2",0.0003048481754833199
tBodyAccJerk,arCoeff(),"Z,3","tBodyAccJerk-arCoeff()-Z,3",0.00018919185498426404
