사용일자,요일,노선명,역명,승하차총승객수
2019-01-01,화,7호선,상도,9491.0
2019-01-01,화,7호선,장승배기,10022.0
2019-01-01,화,7호선,신대방삼거리,14401.0
2019-01-01,화,7호선,보라매,7065.0
2019-01-01,화,7호선,신풍,10656.0
2019-01-01,화,7호선,대림,18553.0
2019-01-01,화,7호선,남구로,15664.0
2019-01-01,화,1호선,가산디지털단지,22943.0
2019-01-01,화,7호선,천왕,7342.0
2019-01-01,화,1호선,온수,7520.0
2019-01-01,화,8호선,암사,15784.0
2019-01-01,화,5호선,천호,18767.0
2019-01-01,화,8호선,강동구청,8227.0
2019-01-01,화,8호선,몽촌토성,7597.0
2019-01-01,화,2호선,잠실,22472.0
2019-01-01,화,8호선,석촌,8074.0
2019-01-01,화,8호선,송파,4793.0
2019-01-01,화,3호선,가락시장,6823.0
2019-01-01,화,8호선,문정,8109.0
2019-01-01,화,3호선,종로3가,33560.0
2019-01-01,화,8호선,장지,21101.0
2019-01-01,화,9호선,개화,4270.0
2019-01-01,화,5호선,김포공항,16194.0
2019-01-01,화,9호선,공항시장,3137.0
2019-01-01,화,9호선,신방화,6641.0
2019-01-01,화,9호선,마곡나루,7854.0
2019-01-01,화,9호선,양천향교,7350.0
2019-01-01,화,9호선,가양,17524.0
2019-01-01,화,9호선,증미,5642.0
2019-01-01,화,9호선,등촌,8526.0
2019-01-01,화,9호선,염창,14037.0
2019-01-01,화,9호선,신목동,2858.0
2019-01-01,화,9호선,선유도,4944.0
2019-01-01,화,2호선,당산,14907.0
2019-01-01,화,9호선,국회의사당,6659.0
2019-01-01,화,5호선,여의도,9473.0
2019-01-01,화,9호선,샛강,2933.0
2019-01-01,화,1호선,노량진,32283.0
2019-01-01,화,9호선,노들,3843.0
2019-01-01,화,9호선,흑석,8149.0
2019-01-01,화,4호선,동작,2952.0
2019-01-01,화,9호선,구반포,2100.0
2019-01-01,화,9호선,신반포,2041.0
2019-01-01,화,3호선,고속터미널,21359.0
2019-01-01,화,9호선,사평,2298.0
2019-01-01,화,9호선,신논현,26294.0
2019-01-01,화,4호선,서울역,23998.0
2019-01-01,화,2호선,홍대입구,17210.0
2019-01-01,화,9호선,마곡나루,2636.0
2019-01-01,화,5호선,김포공항,12410.0
2019-01-01,화,9호선,언주,5567.0
2019-01-01,화,9호선,삼성중앙,3081.0
2019-01-01,화,9호선,봉은사,17361.0
2019-01-01,화,2호선,종합운동장,3414.0
2019-01-01,화,9호선,삼전,5062.0
2019-01-01,화,9호선,석촌고분,4255.0
2019-01-01,화,8호선,석촌,4204.0
2019-01-01,화,9호선,송파나루,3404.0
2019-01-01,화,9호선,한성백제,2284.0
2019-01-01,화,5호선,올림픽공원,3555.0
2019-01-01,화,9호선,둔촌오륜,592.0
2019-01-01,화,9호선,중앙보훈병원,4192.0
2019-01-01,화,4호선,성신여대입구,4318.0
2019-01-01,화,6호선,보문,1655.0
2019-01-01,화,1호선,신설동,1541.0
2019-01-02,수,8호선,문정,45812.0
2019-01-02,수,4호선,서울역,111100.0
2019-01-02,수,2호선,시청,55298.0
2019-01-02,수,1호선,종각,97554.0
2019-01-02,수,3호선,종로3가,69206.0
2019-01-02,수,1호선,종로5가,56450.0
2019-01-02,수,4호선,동대문,27550.0
2019-01-02,수,1호선,신설동,33113.0
2019-01-02,수,1호선,제기동,40768.0
2019-01-02,수,6호선,동묘앞,17726.0
2019-01-02,수,2호선,시청,57565.0
2019-01-02,수,2호선,을지로입구,110681.0
2019-01-02,수,3호선,을지로3가,52619.0
2019-01-02,수,2호선,을지로4가,26841.0
2019-01-02,수,2호선,동대문역사문화공원,36305.0
